url	date	content	retweetCount	likeCount	quoteCount
https://twitter.com/gobackto505/status/1482478181072396291	2022-01-15 22:21:56+00:00	15/01/2022 - Internauta novamente traz o questionamento (em janeiro de 2022) se só ela não sai de casa ainda e julga quem sai	9	207	1
https://twitter.com/gobackto505/status/1482856511831429130	2022-01-16 23:25:17+00:00	16/01/2022 - vocês não conhecem os integrantes do camarote bbb porque vivem em uma bolha de brancos e sertanejos universitários  pessoas que não tem assinatura na folha esfregando a bosta do texto com tom supremacista na cara de todos que também não tem assinatura na folha	7	172	2
https://twitter.com/gobackto505/status/1483579812975370242	2022-01-18 23:19:25+00:00	18/01/2022 - você que está desejando que naiara azevedo fique mais tempo no BBB é, de fato, braço direito do governo bolsonaro  psicanalista famosa cobra o valor que ela acha que seu trabalho vale e é acusada de ser responsável pelo sucateamento do CAPS no Brasil	15	293	10
https://twitter.com/gobackto505/status/1483937320617357313	2022-01-19 23:00:02+00:00	19/01/2022 - mulher chama pedro scooby de homem básico e é xingada de feia o suficiente para o xingamento ressoar por no mínimo dez gerações  VOCÊS acham bonito um homem psicofóbico como pedro scooby  pobi pede pra normalizar date sem beijo na boca e é arrastade por milhões	5	187	3
https://twitter.com/gobackto505/status/1484314453860491266	2022-01-20 23:58:37+00:00	20/01/2022 - 4 dias de programa e já chegou a época em que internautas projetam seus traumas em participantes do BBB (Maria é mulher foda que é trocada por uma básica sem sal / Jade Picon tem cara de quem te dá corda e tira sarro da sua cara no privado com as amigas)	17	229	3
https://twitter.com/gobackto505/status/1484666089992826880	2022-01-21 23:15:54+00:00	21/01/2022 - mulher projeta experiência ruim com bissexuais na bbb maria e diz que crush que ela tinha na maria acabou por ela procurar macho - “essencial perguntar se a maria teria crush em você mona” rebatem internautas	6	211	2
https://twitter.com/gobackto505/status/1484666377105547265	2022-01-21 23:17:02+00:00	21/01/2022 - a nossa mais velha juíza do tribunal de nanocausas faz cena por causa de piada óbvia, acusa tuiteiro de plagiá-la por postar o mesmo trocadilho que ela com 3 dias de diferença	3	133	4
https://twitter.com/gobackto505/status/1485020198058881025	2022-01-22 22:43:00+00:00	22/01/2022 - participante do BBB sofre transfobia por parte de participante mau caráter e a culpa é de VOCÊS que assistem o programa  parem de usar o meme com sotaque de um MINEIRO (ocês num mi insina) pra falar do Rodrigo do BBB porque ele é PAULISTA  jade e paulo meme get out	6	183	5
https://twitter.com/gobackto505/status/1485387057954541575	2022-01-23 23:00:46+00:00	23/01/2022 - Homem diz que pessoal anti cinéfilo é preconceituoso por usar filmes de países não desenvolvidos como exemplo de filmes chatos que cinéfilos gostam e é chamado de pedante   alguns homens engajam na discussão sobre ser CONTRA mijar sentado para não sujar o banheiro	2	146	4
https://twitter.com/gobackto505/status/1485387470493650947	2022-01-23 23:02:24+00:00	23/01/2022 - coach de transtorno alimentar e corna se revolta ao ver o marido comendo carboidratos	26	306	13
https://twitter.com/gobackto505/status/1485746164452687873	2022-01-24 22:47:44+00:00	24/01/2022 - terrível machista douglas escolheu salvar sem titubear um cara que ele tem mais afinidade em vez de salvar uma mulher do paredão   subcelebridades reclamam do terrível peso da fama e condenam Luciano por querer ser famoso - quem vê close não vê corre, completam	4	185	1
https://twitter.com/gobackto505/status/1486101847760855047	2022-01-25 22:21:05+00:00	25/01/2022 - setor madre teresa do twitter &amp; afiliados diz que comemorar certas mortes é ser minúsculo  se for pra comemorar a morte do * por ser guru do governo e espalhar notícias falsas na pandemia então devemos comemorar quando um familiar "nosso" bolsonarista morre	7	197	9
https://twitter.com/gobackto505/status/1486449370870558720	2022-01-26 21:22:01+00:00	26/01/2022 - funcionário de RH achou que ia abalar as estruturas do umbral mas foi abalado ao compartilhar história de entrevista onde candidata se identificou com um gato porque gostava muito de dormir	2	121	3
https://twitter.com/gobackto505/status/1486449669517545472	2022-01-26 21:23:12+00:00	26/01/2022 - internautas viram advogados do careca jeff di jeff e se revoltam com quem fez a festa com o bug de cupom da amazon   é igual pegar carga de caminhão tombado, completa advogada do mês	7	210	11
https://twitter.com/gobackto505/status/1486836419897135104	2022-01-27 23:00:01+00:00	27/01/2022 - o ataque por parte das feministas a música do chico buarque é um ataque à candidatura do lula, as feministas estão acabando com o legado de chico buarque &amp; outros contos  crítico sugere salas separadas pra quem precisa ver filme dublado e é acusado de capacitismo	3	122	1
https://twitter.com/gobackto505/status/1487210379948146690	2022-01-28 23:46:00+00:00	28/01/2022 - bookstans entram em crise, ameaçam de processo a amazon e destratam atendentes após receberem aviso do cancelamento dos pedidos feitos com cupons conquistados através de tramóias &amp; rolos  fudência mor alerta sobre os perigos de não usar capa https://t.co/7yREQmVwa2	8	162	3
https://twitter.com/gobackto505/status/1487210793812832262	2022-01-28 23:47:38+00:00	28/01/2022 - crítico progressista é extremamente capacitista e usa lógica de pessoas que ele tanto odeia ao criticar filmes dublados e não sabe a hora de parar de discutir o assunto	5	124	2
https://twitter.com/gobackto505/status/1487584605062455297	2022-01-30 00:33:02+00:00	29/01/2022 - silvio santos neto sendo delusional com o poder de compra do pobre e com o que o Brasil espera de entretenimento do BBB	4	142	0
https://twitter.com/gobackto505/status/1487931897007292418	2022-01-30 23:33:03+00:00	30/01/2022 - ícaro sabia sim qual era o problema pessoal do sapatênis e citou isso pra ser maldoso   o presidente postou vídeo comendo igual um pombo e internautas avisam para não dar palco para o presidente  a positividade tóxica do lin manuel miranda de baixo orçamento do BBB	5	163	0
https://twitter.com/gobackto505/status/1487947120787267590	2022-01-31 00:33:32+00:00	30/01/2022: levar softblock por achar razoável a noite do powerpoint	3	88	1
https://twitter.com/gobackto505/status/1488285969329516547	2022-01-31 23:00:00+00:00	31/01/2022 - deixar o entregador de comida subir até seu apartamento é colocar todos os moradores do prédio em risco, e além de tudo, um comportamento que remete aos tempos coloniais	5	126	7
https://twitter.com/gobackto505/status/1488660373955821569	2022-02-01 23:47:45+00:00	01/02/2022 - mulher esquece recortes de classe em casa, fala que é fácil paulo andré ir para o bbb apesar de ter filho de 5 meses e é desmentida pela mãe do bebê   internautas alegam que NENHUM ARTISTA brasileiro chegou tão longe quanto anitta nos eua	4	128	5
https://twitter.com/gobackto505/status/1488660798113300487	2022-02-01 23:49:26+00:00	01/02/2022 - nosso melhor time de engenheiros e geógrafos formados na universidade do twitter opinam sobre o que motivou abertura de cratera na marginal tietê  alguns apostam que é a obra ser privada e deputado rebate falando que o problema foi ela ter sido obra pública	3	149	3
https://twitter.com/gobackto505/status/1489004051257769985	2022-02-02 22:33:24+00:00	02/02/2022 - homem não entende que internautas chamam a participante de BBB de Eslovaca porque é o gentílico de quem nasce na Eslováquia e usa a carta do brasileiro médio que não sabe falar de quem não gosta sem utilizar misoginia e romper outros tratados de paz	7	154	7
https://twitter.com/gobackto505/status/1489362484029018113	2022-02-03 22:17:41+00:00	03/02/2022 - médico mexe com chupeta de adulto (café) e é massacrado  tuiteiros acusam bbb DG de se aproveitar de mulher bêbada (sim, nesse tom que você, leitor, pensou) porque jex9lane entregou estratégia de jogo das amigas	7	146	3
https://twitter.com/gobackto505/status/1489362861784801282	2022-02-03 22:19:11+00:00	03/02/2022 - tuiteiros debatem com tons puritanos uma metidinha dos brothers e projetam traumas diversos  fãs de senhor dos anéis vão a loucura com a possibilidade de ter cenas de alguém "queimando" o "anel" na nova série adaptada da obra	13	179	6
https://twitter.com/gobackto505/status/1489731581740818435	2022-02-04 22:44:21+00:00	04/02/2022 - mulher fala mal de chupeta de adulto (maconha) e tuiteiros levantam debate sobre itens alimentícios que são muito mais droga do que maconha, como café e açúcar e como falar que maconha é droga é ser mão de obra do fascismo https://t.co/WhR1kKulw9	25	176	9
https://twitter.com/gobackto505/status/1489732427329249280	2022-02-04 22:47:43+00:00	04/02/2022 - usuários da net ficam pessoalmente ofendidos com lin manuel miranda de baixo orçamento usar óculos sem grau, porque onde já se viu usar algo que é medicação por ESTÉTICA! daqui a pouco as pessoas vão usar muleta também sem precisar porque acham bonito?	2	143	4
https://twitter.com/gobackto505/status/1489732882360844289	2022-02-04 22:49:31+00:00	04/02/2022 - novamente uma das discussões mais requentadas e xexelentas do site: mulheres reivindicando que encontro na casa do boy não é date pois ele não está pagando por nada do encontro	2	136	7
https://twitter.com/gobackto505/status/1490120564492718082	2022-02-06 00:30:02+00:00	05/02/2022 - numawife demonstra decepção por escolha musical da festa do bbb e deixa internautas rock wins atacados porque ela demonstrou desprezo por legião urbana   homem que sai com a namorada usando camiseta de timezzzZZz	4	133	3
https://twitter.com/gobackto505/status/1490120805245665282	2022-02-06 00:30:59+00:00	05/02/2022 - geração d (d de damares) diz que relacionamento de jade e paulo andré tem muito mais intimidade e valor sem toque físico do que qualquer outro relacionamento carnal	17	207	17
https://twitter.com/gobackto505/status/1490458740646199297	2022-02-06 22:53:49+00:00	06/02/2022 - perfil de 70 seguidores acusa jessi de ser hipócrita por dever o fies e ter um iphone, dividindo a opinião de progressistas do site entre quem acha que pobre tem direito de ter lazer e quem acha que pobre tem que viver só para trabalhar	11	185	3
https://twitter.com/gobackto505/status/1490828722030530560	2022-02-07 23:24:00+00:00	07/02/2022 - homem não sabe os lugares que frequenta e reclama de ser barrado por estar de regata   pessoas ofendidas com quem usa regata   assédio direcionado com fashionistas que reclamaram de regata (com prints sem cortar o username)	3	115	1
https://twitter.com/gobackto505/status/1491169561085120512	2022-02-08	08/02/2022 - homem usa vídeo de comemoração futebolística de um país onde é crime ser lgbt para criticar o "jovem classe média" que fala que "futebol é cultura hétero"  podcaster que já rompeu diversas convenções de genebra fez apologia ao nazismo e AÍ SIM atingiu o limite	13	245	3
https://twitter.com/gobackto505/status/1491533281623523331	2022-02-09 22:03:40+00:00	09/02/2022 - mulher é acusada de ofender e romper tratados de direitos humanos por falar que uma casa parece um SESC  internautas discutem ponderadamente nazismo com uma pessoa que já falou que deveríamos ter o direito de vender um órgão ou outro pra gerar uma renda	7	222	6
https://twitter.com/gobackto505/status/1491901231022944262	2022-02-10 22:25:46+00:00	10/02/2022 - 80% dos brasileiros têm herpes labial e por isso você pode e deve lamber uma feridona aberta	9	201	4
https://twitter.com/gobackto505/status/1492273853673914372	2022-02-11 23:06:26+00:00	11/02/2022 - o crime inafiançável de brunna numawife de não saber onde fica uma cidade no estado onde ela mora	4	128	3
https://twitter.com/gobackto505/status/1492642722259382274	2022-02-12 23:32:11+00:00	12/02/2022 - VOCÊS aplaudem o exemplo de fungos e sexo ao vivo de elieser e maria e também o casal sem química estocolmo e lucas mas falam que jade e PA são forçados	4	122	3
https://twitter.com/gobackto505/status/1492990214133927939	2022-02-13 22:33:00+00:00	13/02/2022 - jornalista descobre que massinha de modelar é feita de trigo e amido e traz o questionamento: massa de modelar é uma criação capitalista pra manter o pobre faminto?	20	224	16
https://twitter.com/gobackto505/status/1493369943529869312	2022-02-14 23:41:54+00:00	14/02/2022 - gay chora ao presenciar um relacionamento aberto acontecendo na frente dele, mas afirma "ainda acredito no amor"  o golpe da fruta em são paulo é real? é só fechar os olhos e sair  briga pressão baixa de verificadas  dj clubber exige pagamento e surta no twitter	10	191	11
https://twitter.com/gobackto505/status/1493744274357178374	2022-02-16 00:29:22+00:00	15/02/2022 - VOCÊS tem que parar de falar que a história da natália lembra um pouco a da ju porque ela está passando por uma perseguição MUITO pior   maria é canceriana com ascendente em áries por isso agrediu outra com um balde	5	173	14
https://twitter.com/gobackto505/status/1494102050954792965	2022-02-17 00:11:02+00:00	16/02/2022 -  nota quilométrica de DJ faz mais que paulo freire pela alfabetização de pessoas, internautas elogiam a responsabilidade afetiva da rato distópico e desejam ter apenas uma amizade que fica do seu lado assim como ela ficou ao lado da DJ	20	194	6
https://twitter.com/gobackto505/status/1494464963636867074	2022-02-18 00:13:07+00:00	17/02/2022 - elieser fomenta uma amizade por likes e rteres, viny se apaixona platonicamente e após rolar edredom de elieser com outra participante viny sofre e nós também lendo todas as análises acertadas sobre a falta de responsabilidade afetiva &amp; traumas diversos	4	133	0
https://twitter.com/gobackto505/status/1494807667281477642	2022-02-18 22:54:54+00:00	18/02/2022 - mulher relembra um dos dias mais ridículos do twitter onde adultos 30+ perguntaram para adolescentes o que era cringe, tweet fura bolhas, analfabetismo funcional come solto e tidinha dos podcasts se ofende com autora do tweet, trazendo assim ela para o arrasto	2	147	7
https://twitter.com/gobackto505/status/1495186623633539072	2022-02-20 00:00:44+00:00	19/02/2022 - paulistas ainda choram porque pessoal não curtiu o bar com cadeira na brita  brasileiro tem síndrome de vira lata e rejeita o funk originário do periférico mas aceita o jazz que também foi criado por periférico gringo	2	102	2
https://twitter.com/gobackto505/status/1495557423914008579	2022-02-21 00:34:10+00:00	20/02/2022 - (voz do double gu PRO JE TAN DOOO)  mulher fala com um público específico de sua bolha, diz que se hoje tem um marido decente é porque saiu vazada toda vez que um homem maltratou ela e é chamada de conservadora e que culpabilizou vítimas de abuso	3	112	2
https://twitter.com/gobackto505/status/1495892121366183936	2022-02-21 22:44:08+00:00	21/02/2022 - cantor deixa a mostra que sentiu tweet das pessoas falando de quem tem + 30 e deixa a mostra energia "sou velha mas pelo menos não moro com os meus pais"  escritora fala que piratear ebook é crime e grita com as nuvens mesmo não tendo nenhum livro pirateado	4	105	2
